path;year;days
145.70;2011.00;291.00
416.00;2007.00;934.00
587.00;2011.00;37.00
563.00;2008.00;105.00
NA;2011.00;267.00
309.00;2011.00;317.00
163.00;2008.00;539.00
437.00;2003.00;513.00
225.00;1983.00;636.00
628.60;2010.00;637.00
893.00;2008.00;847.00
452.00;2012.00;223.00
156.00;2008.00;386.00
NA;1990.00;404.00
345.00;2011.00;42.00
620.00;2011.00;44.00
372.00;1990.00;485.00
770.00;2003.00;424.00
581.00;2010.00;88.00
31.00;2011.00;359.00
260.00;2010.00;326.00
287.70;1990.00;736.00
493.00;2010.00;104.00
175.00;2010.00;1009.00
703.00;2011.00;792.00
628.00;2008.00;523.00
212.00;2010.00;26.00
881.00;2008.00;170.00
81.00;2011.00;798.00
1117.00;2010.00;22.00
506.00;2012.00;119.00
370.00;2012.00;411.00
436.00;2011.00;10.00
156.00;1992.00;750.00
872.00;2011.00;10.00
621.00;1990.00;739.00
620.00;1990.00;739.00
805.00;1988.00;563.00
592.00;2012.00;648.00
266.00;1987.00;191.00
527.00;1988.00;2.00
403.00;2012.00;48.00
670.00;2010.00;898.00
NA;2007.00;521.00
506.00;2005.00;148.00
592.00;2012.00;107.00
415.00;2013.00;12.00
NA;2010.00;751.00
722.00;2013.00;241.00
NA;2013.00;777.00
505.00;2011.00;649.00
219.60;2007.00;198.00
NA;2008.00;663.00
NA;2008.00;667.00
941.00;2013.00;1015.00
32.00;2007.00;514.00
770.00;1991.00;491.00
